Index,Code,Occur,BCC
97,150141,5,0.3987
98,150142,5,0.3545
99,150151,4,0.2251
100,150152,5,0.4586
101,150153,5,0.4018
102,150161,7,0.2343
103,150171,4,0.0021
104,150172,4,0.0899
105,150173,4,0.2338
106,150174,4,0.2886
107,150191,32,0.0575
108,160116,35,0.0
109,160117,44,-0.1075
110,160121,160,0.0816
111,160122,17,-0.0074
112,160123,140,-0.0452
113,160124,73,0.1394
114,160125,5,0.1877
115,160131,105,0.0451
116,160141,23,0.327
117,160142,20,0.3895
118,160151,48,0.2269
119,160152,7,0.4285
120,160153,51,0.4445
121,160161,5,0.1938
122,160171,7,0.0349
123,160172,24,0.0784
124,160173,4,0.1401
125,160174,4,0.2859
126,160191,4215,0.0
127,170117,4,0.0
128,170121,160,0.1929
129,170122,7,0.0799
130,170123,35,0.0635
131,170124,25,0.219
132,170125,5,0.21
133,170131,19,0.1703
134,170141,5,0.4597
135,170142,4,0.4543
136,170151,19,0.3273
137,170152,5,0.5416
138,170153,4,0.5169
139,170171,9,0.1402
140,170172,8,0.166
141,170173,16,0.2312
142,170174,4,0.3528
143,170191,991,0.1369
144,210121,31,0.0
145,210122,16,-0.0302
146,210123,52,-0.1185
147,210124,16,0.0867
148,210131,48,-0.0517
149,210141,13,0.2527
150,210142,24,0.2947
151,210151,7,0.0757
152,210152,11,0.3531
153,210153,82,0.3359
154,210161,10,0.1037
155,210171,5,-0.0204
156,210172,4,-0.0369
157,210173,6,0.0876
158,210174,4,0.1898
159,210191,878,-0.2048
160,220122,5,0.0
161,220123,4,-0.0327
162,220124,11,0.1326
163,220125,4,0.0235
164,220131,10,-0.0059
165,220141,9,0.1682
166,220142,10,0.3046
167,220151,4,0.1593
168,220152,4,0.3657
169,220153,12,0.3322
170,220171,4,-0.0155
171,220172,4,-0.0015
172,220173,6,0.0838
173,220174,4,0.2067
174,220191,213,-0.0865
175,230123,6,0.0
176,230124,31,0.1794
177,230131,11,0.0202
178,230141,6,0.2538
179,230142,5,0.4175
180,230151,5,0.2024
181,230153,5,0.3418
182,230161,5,0.1766
183,230171,4,0.0561
184,230172,7,0.0642
185,230173,4,0.1802
186,230191,362,-0.0497
187,240124,13,0.0
188,240125,4,0.1043
189,240131,34,-0.0985
190,240141,6,0.1287
191,240142,17,0.1498
192,240151,19,0.0315
193,240152,8,0.1731
194,240153,14,0.2714
195,240161,4,0.115
196,240171,4,-0.0554
197,240172,9,-0.0603
198,240173,5,0.0192
199,240174,4,0.1171
200,240191,72,-0.2444
201,250191,4,-0.1634
202,310131,6,0.0
203,310141,18,0.2229
204,310142,196,0.2336
205,310151,5,0.0442
206,310152,9,0.2152
207,310153,41,0.2093
208,310161,32,0.0083
209,310171,4,0.0375
210,310172,4,0.0014
211,310173,4,0.0699
212,310174,4,0.1712
213,310191,386,-0.201
214,410141,4,0.0
215,410142,6,0.2762
216,410151,5,-0.1072
217,410161,6,0.0592
218,410171,6,-0.2769
219,410172,8,-0.2065
220,410173,4,-0.1309
221,410174,4,0.0181
222,410191,49,-0.1593
223,420142,1,0.0
224,420151,10,-0.3626
225,420152,4,0.0675
226,420171,6,-0.1976
227,420172,15,-0.3077
228,420173,4,-0.2425
229,420191,25,-0.3756
230,510151,15,0.0
231,510152,5,0.2576
232,510153,4,0.2971
233,510161,4,-0.0936
234,510171,4,-0.0547
235,510172,4,-0.026
236,510173,4,0.1105
237,510191,36,-0.1718
238,520152,1,0.0
239,520172,5,-0.235
240,520191,10,-0.404
241,530171,7,-0.2041
242,530172,9,-0.2761
243,530173,4,-0.197
244,530174,4,-0.149
245,530191,6,-0.4588
246,610172,20,-0.0555
247,610191,45,-0.0258
248,120212,613,0.0
249,120215,23,-0.0631
250,130223,39,0.0547
251,130224,432,0.2877
252,130225,13,0.1624
253,130241,27,0.2496
254,130242,10,0.6836
255,140231,301,0.2391
256,140232,115,0.189
257,140233,217,0.2755
258,140251,88,0.2834
259,140252,4,0.4447
260,140253,4,0.5617
261,150215,6,0.0
262,150224,13,0.2204
263,150231,14,0.2335
264,150242,4,0.715
265,150251,6,0.3429
266,150252,4,0.3052
267,230224,5,0.1731
268,240224,47,0.0
269,240225,12,0.004
270,240231,12,-0.0467
271,240241,7,0.0535
272,240242,22,0.4287
273,240251,6,0.1684
274,240252,4,0.3764
275,240253,5,0.4265
276,250225,25,0.0
277,310241,4,0.1315
278,310242,95,0.2707
279,310251,5,0.1583
280,310252,74,0.2718
281,310253,385,0.2792
282,410241,1,0.0
283,420251,14,-0.563
284,510252,7,0.3295
285,150315,88,0.0
286,150325,160,0.3258
287,250325,17,0.0
288,210631,6,-0.1168
289,220631,4,0.0465
290,230631,7,0.1317
291,240631,4,-0.0817
292,250631,4,-0.0543
293,250651,4,0.1473
294,160716,2351,0.0
295,160717,413,-0.0653
296,160723,535,-0.0243
297,160731,4,-0.1518
298,160741,11,0.224
299,160751,178,0.2699
300,170717,97,0.0
301,170723,244,0.0885
302,170724,813,0.263
303,170731,265,0.1294
304,170741,4,0.2464
305,170751,126,0.3144
306,230723,4,0.0
307,230724,227,0.1698
308,230731,4,0.0677
309,230741,8,0.1806
310,230751,4,0.1565
311,240724,87,0.0
312,240731,121,-0.0723
313,240741,5,0.0456
314,240751,131,0.0419
315,310741,4,0.071
316,310751,4,0.0983
317,410751,4,0.0587
318,510751,3,0.0
319,160816,2551,0.0
320,160817,504,-0.0653
321,160823,47,-0.0243
322,160831,4,-0.1518
323,160841,14,0.224
324,160851,7,0.2699
325,170817,129,0.0
326,170823,11,0.0885
327,170824,1003,0.263
328,170831,4,0.1294
329,170841,6,0.2464
330,170851,4,0.3144
331,230824,4,0.1698
332,240824,226,0.0
333,240841,8,0.0456
334,110931,5,0.1615
335,110951,4,0.0833
336,120931,7,0.1844
337,120951,5,0.1879
338,130931,5,0.3046
339,130951,4,0.1969
340,140931,56,0.2653
341,140951,23,0.1713
342,150931,4,0.2549
343,150951,4,0.3281
344,160931,4,0.2797
345,160951,4,0.2541
346,170931,4,0.337
347,170951,4,0.3476
348,230931,245,-0.15
349,310941,7,0.2354
350,310942,108,0.3195
351,310951,4,0.153
352,310952,8,0.3916
353,310953,30,0.3228
354,510953,4,0.5218
